北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2183,1364,7378,3446,2388,4155,2317,3029,2480,8526,6670,6123,4193,4502,10080,9785,5834,6539,12780,5013,1048,3190,8364,3860,4655,370,3953,2458,593,729,2623
2186,1364,7393,3466,2396,4182,2339,3062,2487,8526,6627,6121,4183,4515,10123,9815,5838,6568,12706,5027,1043,3191,8368,3865,4673,365,3952,2465,594,729,2598
2184,1363,7420,3481,2401,4197,2348,3099,2475,8515,6577,6127,4188,4528,10163,9872,5844,6604,12657,5047,1027,3213,8374,3856,4693,364,3956,2492,595,728,2587
2189,1373,7448,3480,2400,4229,2375,3125,2489,8505,6540,6113,4187,4517,10170,9883,5830,6622,12684,5037,1020,3212,8372,3852,4690,366,3954,2490,594,725,2589
2189,1387,7464,3490,2403,4255,2399,3171,2488,8477,6468,6105,4161,4519,10165,9941,5745,6645,12624,5019,1012,3209,8371,3858,4722,366,3955,2501,593,721,2590
2190,1385,7447,3497,2415,4277,2448,3255,2481,8469,6375,6092,4137,4516,10106,9901,5927,6640,12489,4982,995,3188,8351,3848,4714,361,3944,2509,590,717,2559
2192,1383,7426,3502,2422,4291,2484,3327,2475,8446,6273,6076,4104,4513,10077,9864,5917,6635,12348,4947,982,3163,8321,3822,4703,354,3931,2515,587,710,2520
2194,1410,7409,3510,2433,4312,2526,3399,2466,8423,6170,6057,4065,4511,10033,9829,5904,6633,12141,4907,972,3144,8289,3803,4693,349,3904,2522,586,705,2480
2195,1443,7375,3514,2436,4327,2567,3463,2467,8381,6072,6033,4016,4496,9973,9778,5885,6625,11908,4857,957,3110,8251,3758,4677,340,3874,2520,582,695,2428
2188,1439,7345,3519,2440,4338,2613,3529,2458,8315,5985,6011,3984,4485,9866,9701,5850,6615,11678,4811,945,3070,8196,3708,4663,330,3846,2523,577,684,2385
2171,1429,7323,3528,2449,4358,2642,3608,2467,8281,5890,5997,3945,4480,9808,9645,5816,6611,11489,4770,936,3043,8139,3677,4653,325,3827,2531,576,678,2325
2125,1410,7288,3535,2455,4365,2668,3666,2448,8192,5784,5988,3885,4476,9746,9573,5798,6600,11270,4731,920,3011,8109,3632,4641,317,3804,2537,571,666,2285
2078,1378,7262,3548,2464,4375,2698,3724,2399,8120,5685,5978,3841,4475,9708,9532,5781,6590,11041,4694,910,2975,8085,3587,4631,315,3787,2550,571,659,2253
2024,1341,7232,3562,2470,4379,2725,3782,2356,8023,5570,5972,3784,4474,9665,9461,5760,6581,10756,4655,890,2944,8064,3530,4620,309,3765,2552,568,648,2225
1962,1299,7194,3574,2472,4375,2747,3833,2303,7869,5447,5957,3693,4462,9588,9405,5728,6570,10441,4610,869,2885,8045,3479,4602,300,3735,2560,563,633,2185
1860,1228,7034,3427,2458,4341,2740,3826,2210,7810,5276,6131,3666,4432,9470,9487,5720,6406,10130,4856,864,2859,8185,3537,4571,296,3727,2555,557,625,2159
1771,1176,6989,3411,2444,4315,2734,3825,2141,7762,5212,6135,3639,4400,9417,9429,5711,6380,9893,4816,854,2839,8138,3596,4543,292,3718,2551,554,618,2131
1676,1115,6943,3393,2429,4298,2730,3824,2064,7723,5155,6118,3612,4368,9367,9360,5699,6355,9660,4768,845,2816,8127,3632,4514,289,3708,2548,552,610,2095
1601,1075,6898,3375,2415,4271,2723,3823,1964,7656,5072,6110,3585,4339,9309,9392,5693,6342,9442,4719,836,2808,8169,3690,4483,285,3699,2547,548,604,2050
1538,1043,6851,3355,2403,4221,2716,3820,1890,7588,4991,6120,3557,4311,9248,9380,5710,6326,9194,4660,828,2798,8212,3730,4450,280,3690,2545,543,596,2010
